# DatalystLM Question Seed File
# Format: question_text|topic|subtopic|difficulty|keywords|ideal_answer_primary|ideal_answer_supporting_1
# Lines starting with # are ignored. Pipe | is the delimiter — do not use | inside answers.

# ── Machine Learning ──────────────────────────────────────────────────────────

Walk me through the main approaches to building a recommendation system. What are the strengths and limitations of each?|ML|SUPERVISED_LEARNING|HARD|collaborative filtering;content-based filtering;hybrid;matrix factorization;cold start;embeddings;user-item matrix;two-tower;ranking;candidate generation|Content-based filtering recommends items similar to those a user has engaged with, using item features like genre, keywords, or attributes. It works without data from other users, handles new items without a cold-start problem, but rarely surfaces surprising discoveries outside what the user already knows. Collaborative filtering ignores item content and finds users with similar interaction histories, recommending what similar users liked. It discovers more diverse recommendations but suffers from cold-start -- new users or items have no history to leverage. Matrix factorization -- SVD or ALS -- is the core collaborative filtering technique, decomposing the user-item interaction matrix into latent factor embeddings.|Hybrid systems combine both approaches: content-based methods bootstrap cold-start recommendations and collaborative signals take over as history accumulates. Production systems at scale use two-stage architectures -- a candidate generation stage retrieves hundreds of candidates quickly via approximate nearest neighbor search over learned embeddings, and a ranking stage scores and reorders with a richer model. Deep learning has largely replaced classical matrix factorization: two-tower networks learn user and item embeddings jointly from interaction data. Evaluation uses offline metrics like precision at K and mean average precision, but A/B testing is essential since offline metrics often fail to predict real user engagement.

You are working on a multi-label classification problem where each example can belong to multiple classes simultaneously. What evaluation metrics would you use and how would you choose between them?|ML|MODEL_EVALUATION|HARD|multi-label;Hamming loss;macro F1;micro F1;precision at K;MAP;subset accuracy;label imbalance;partial correctness|Multi-label evaluation requires metrics that handle partial correctness -- getting three of four labels right should score better than getting none. Hamming loss measures the fraction of individual label-example pairs predicted incorrectly, averaged across all labels and examples, and is the most straightforward metric. Micro F1 aggregates true positives, false positives, and false negatives across all labels before computing precision and recall, giving more weight to frequent labels. Macro F1 computes F1 per label independently and averages them equally -- treating rare and common labels the same, which is appropriate when minority-class labels matter as much as frequent ones.|Subset accuracy -- requiring the exact full correct label set to match -- is the strictest metric but penalizes models that are almost right as harshly as those that are completely wrong, making it too conservative for most applications. Precision at K and mean average precision at K are useful when predictions are ranked, measuring how many top K predicted labels are correct. The right choice depends on the application: in medical diagnosis where every missed label carries clinical risk, use per-label recall. In content tagging, Hamming loss and micro F1 capture average performance well. Report multiple metrics together since no single one reveals all failure modes.

Explain the difference between concept drift and data drift. How would you detect and handle each in a production machine learning system?|ML|MODEL_EVALUATION|HARD|concept drift;data drift;covariate shift;distribution shift;monitoring;retraining;Population Stability Index;KL divergence;ground truth;KS test|Data drift -- also called covariate shift -- occurs when the distribution of input features changes over time while the relationship between features and target remains stable. For example, a credit scoring model trained in 2020 may encounter different income distributions in 2024 due to economic changes, but the causal relationship between income and default risk is unchanged. Concept drift occurs when that underlying relationship itself changes -- a spam filter trained on old tactics becomes ineffective as attackers evolve. Concept drift is harder to detect because it requires observing true labels after prediction, which may arrive with a delay.|Detect data drift by monitoring feature distributions over time using Population Stability Index, KL divergence, or statistical tests like the Kolmogorov-Smirnov test comparing production windows to the training distribution. Detect concept drift by tracking model accuracy or prediction confidence as ground truth accumulates. Handle data drift by retraining on more recent data or weighting recent examples more heavily. Handle concept drift with fresh labeled data and automated retraining triggers -- accuracy dropping below a threshold or PSI exceeding a threshold. A complete monitoring system watches input distributions, output distributions, and delayed ground truth together, alerting on any signal independently.

Explain the ARIMA model and its three components. What assumptions does it make and how would you validate them in practice?|ML|SUPERVISED_LEARNING|MEDIUM|ARIMA;autoregressive;integrated;moving average;stationarity;differencing;ACF;PACF;AIC;BIC;residuals;time series|ARIMA -- AutoRegressive Integrated Moving Average -- combines three components to model time series. The AR component regresses the current value on its own past values, capturing momentum or mean-reversion. The I component applies differencing -- subtracting consecutive observations -- to remove trends and achieve stationarity. The MA component regresses on past forecast errors, capturing short-term shocks that persist into subsequent periods. The three parameters p, d, and q for each component are typically selected by minimizing AIC or BIC, with the augmented Dickey-Fuller test confirming that d differences achieve stationarity.|Validate assumptions by examining residuals: a well-specified model produces residuals that look like white noise -- no autocorrelation, constant variance, and approximate normality. ACF and PACF plots guide parameter selection: a sharp ACF cutoff at lag q with gradually decaying PACF suggests MA(q); the reverse suggests AR(p). SARIMA extends ARIMA with seasonal components for data with repeating cycles. ARIMA's linearity assumption means it misses nonlinear temporal patterns -- if residuals show systematic structure, consider exponential smoothing, Prophet, or neural approaches like LSTM. Always benchmark against a naive baseline like last-observed or seasonal decomposition before deploying.

# ── SQL ───────────────────────────────────────────────────────────────────────

What is the difference between WHERE and HAVING in SQL?|SQL|AGGREGATIONS|EASY|WHERE;HAVING;GROUP BY;aggregate;filter;rows|WHERE filters rows before any aggregation occurs, operating on individual row values. HAVING filters groups after GROUP BY aggregation, operating on aggregate results like counts or sums. WHERE cannot reference aggregate functions while HAVING can. For example, WHERE salary > 50000 filters individual employees, while HAVING COUNT(*) > 5 filters department groups with more than five members.|SQL executes in this logical order: FROM, WHERE, GROUP BY, HAVING, SELECT, ORDER BY. This ordering explains why WHERE cannot see aggregated values—aggregation has not happened yet. A common mistake is trying to filter on a SELECT alias inside WHERE, which also fails for the same reason. HAVING is only needed when filtering on aggregate function results.

Explain the difference between INNER JOIN and LEFT JOIN.|SQL|JOINS|EASY|INNER JOIN;LEFT JOIN;NULL;matching rows;all rows|INNER JOIN returns only rows where a match exists in both tables, excluding any row from either side that has no match. LEFT JOIN returns all rows from the left table regardless of whether a match exists in the right table, filling NULL for right-table columns where no match is found. Use INNER JOIN when you only care about matched records; use LEFT JOIN when you need all records from the primary table with optional related data.|RIGHT JOIN is the mirror of LEFT JOIN, returning all right-table rows. FULL OUTER JOIN returns all rows from both tables with NULLs where no match exists. LEFT JOIN is common in reporting queries where you need to preserve base records even when related data is missing, such as showing all customers including those with no orders.

What is a window function and when would you use one?|SQL|WINDOW_FUNCTIONS|MEDIUM|window function;OVER;PARTITION BY;ORDER BY;ROW_NUMBER;RANK;LAG;LEAD|A window function performs calculations across a set of rows related to the current row without collapsing rows like GROUP BY does. It uses an OVER clause defining the window: PARTITION BY divides rows into groups, ORDER BY defines row order within the partition. Common functions include ROW_NUMBER for unique sequential numbering, RANK for ranking with gaps, LAG and LEAD for accessing prior or next row values, and SUM or AVG OVER for running aggregates.|Window functions solve problems like top N rows per group, moving averages, running totals, and comparing each row to the previous. Unlike GROUP BY they preserve all rows in the result. For example, ROW_NUMBER() OVER (PARTITION BY department ORDER BY salary DESC) assigns a rank within each department without reducing the output to one row per department.

What is the difference between a CTE and a subquery?|SQL|SUBQUERIES|MEDIUM|CTE;WITH;subquery;readability;recursive;performance|A CTE defined with the WITH keyword creates a named temporary result set you can reference multiple times in the same query. A subquery is an inline query embedded directly in the main query. CTEs improve readability by naming complex logic, enable recursion for hierarchical data, and allow reusing results without re-execution. Subqueries are simpler for single-use inline filtering or scalar value lookups.|Correlated subqueries reference the outer query and execute once per outer row, which can be slow. A CTE executes once and its result is reused, which can be more efficient depending on the optimizer. Recursive CTEs are uniquely powerful for traversing trees or graphs, which subqueries cannot do. For readability, many developers prefer CTEs when queries become complex.

Explain the logical execution order of a SQL query.|SQL|AGGREGATIONS|HARD|FROM;WHERE;GROUP BY;HAVING;SELECT;ORDER BY;LIMIT;execution order|The logical execution order is: FROM and JOIN first to build the working dataset, then WHERE to filter individual rows, then GROUP BY to form groups, then HAVING to filter groups, then SELECT to compute output columns and aliases, then DISTINCT to deduplicate, then ORDER BY to sort, and finally LIMIT or OFFSET to return a subset. This order explains why WHERE cannot reference SELECT aliases and aggregate functions cannot appear in WHERE.|Understanding execution order resolves many SQL errors. You cannot use a SELECT alias in WHERE because WHERE runs before SELECT. HAVING is the correct place to filter on aggregate values. Subqueries in FROM execute first as derived tables. Window functions run after WHERE and GROUP BY but before ORDER BY and LIMIT.

How would you find and remove duplicate records in a SQL table?|SQL|SUBQUERIES|HARD|GROUP BY;HAVING;COUNT;ROW_NUMBER;PARTITION BY;CTE;DELETE|To find duplicates, GROUP BY the columns that define uniqueness and use HAVING COUNT(*) > 1. To delete while keeping one row per group, use a CTE with ROW_NUMBER() OVER (PARTITION BY duplicate_columns ORDER BY id) and delete rows where row_number > 1. This keeps exactly one row per group—typically the lowest id—and deletes the rest.|Another approach uses a self-join: join the table to itself on duplicate columns and delete rows where id is greater than the minimum id in each group. For large tables, creating a new deduplicated table and swapping is often faster. Always run a SELECT version of the DELETE first to verify the correct rows are targeted before committing.

# ── Statistics ────────────────────────────────────────────────────────────────

What is the difference between mean, median, and mode?|STATISTICS|DESCRIPTIVE|EASY|mean;median;mode;central tendency;skew;outliers|Mean is the arithmetic average—sum all values and divide by count. Median is the middle value when sorted, or the average of the two middle values for even-length datasets. Mode is the most frequently occurring value. Mean is sensitive to outliers because extreme values shift the sum. Median is resistant to outliers, making it preferable for skewed distributions like income. Mode is most useful for categorical data or finding the most common value.|In a symmetric distribution mean and median are equal. When a distribution is right-skewed—like household income—the mean is pulled above the median by large outliers, making median more representative. This is why median household income is reported instead of mean. Mode is used for multimodal distributions or categorical variables where average has no meaning.

What is a p-value and what does it tell you?|STATISTICS|HYPOTHESIS_TESTING|EASY|p-value;null hypothesis;significance;Type I error;alpha;0.05|A p-value is the probability of observing a test statistic as extreme as or more extreme than the one from your sample, assuming the null hypothesis is true. A small p-value—typically below 0.05—means the data would be unlikely under the null, providing evidence against it. It does not measure the probability that the null hypothesis is true, nor does it measure effect size. You reject the null when the p-value falls below your significance threshold alpha.|A p-value of 0.05 does not mean there is a 5% chance the null is true—it means there is a 5% chance of data this extreme if the null were true. P-values do not tell you the magnitude of an effect. With large samples, even trivially small effects produce very small p-values. Always pair p-values with confidence intervals and effect sizes for a complete picture.

Explain the Central Limit Theorem.|STATISTICS|DISTRIBUTIONS|MEDIUM|Central Limit Theorem;sample mean;normal distribution;sample size;population;distribution|The Central Limit Theorem states that the sampling distribution of the sample mean approaches a normal distribution as sample size increases, regardless of the underlying population distribution. For most distributions, samples of size 30 or more are sufficient. The sampling distribution's mean equals the population mean, and its standard deviation—the standard error—equals the population standard deviation divided by the square root of n. This justifies normal-distribution-based inference even when the population is not normal.|CLT is foundational because it allows confidence intervals and hypothesis tests using z-scores and t-scores even when the underlying distribution is unknown. It explains why many natural phenomena approximate normality—they are the sum of many small independent random effects. CLT breaks down for very small samples, highly skewed populations, or distributions without finite variance like the Cauchy distribution.

What is the difference between correlation and causation?|STATISTICS|DESCRIPTIVE|MEDIUM|correlation;causation;confounding variables;spurious;Pearson;experiment|Correlation measures the linear relationship between two variables—when one changes the other tends to change in a predictable direction. Causation means changing one variable directly produces a change in another. Correlation does not imply causation because both variables may be driven by a confounding variable, the relationship may be spurious, or causality may run in the opposite direction. Establishing causation requires controlled experiments, randomization, or causal inference methods like instrumental variables.|Classic spurious correlations: ice cream sales correlate with drowning rates—the confounder is summer heat. Shoe size correlates with reading ability in children—the confounder is age. Observational studies can show correlation but typically cannot establish causation without experimental design. Randomized controlled trials remove confounding by randomly assigning treatment, ensuring groups differ only in the treatment variable.

What is a confidence interval and how do you interpret it?|STATISTICS|HYPOTHESIS_TESTING|HARD|confidence interval;confidence level;margin of error;population parameter;sample;95%|A confidence interval is a range of values that, over many repeated samples, would contain the true population parameter a specified percentage of the time—typically 95%. The interval is centered at the sample estimate and its width depends on sample size, variability, and confidence level. Wider intervals reflect more uncertainty; narrower intervals reflect more precision. A 95% CI means that if the sampling and interval construction process were repeated 100 times, 95 of those intervals would contain the true parameter.|A common misinterpretation is saying there is a 95% probability the specific computed interval contains the true parameter—the true parameter is fixed, so this is either true or false. The 95% refers to the long-run frequency of the procedure. Increasing sample size narrows the interval because the standard error decreases. A 99% CI is wider than a 95% one because it must capture the parameter more often.

Walk me through the steps of hypothesis testing.|STATISTICS|HYPOTHESIS_TESTING|HARD|null hypothesis;alternative hypothesis;test statistic;p-value;alpha;Type I error;Type II error;reject|First, state the null hypothesis H0 representing no effect and the alternative H1 representing the expected effect. Second, choose a significance level alpha—commonly 0.05—which is the acceptable Type I error rate. Third, select the appropriate test statistic based on data type and distribution, such as a t-test for means or chi-squared for categorical data. Fourth, compute the test statistic from your sample. Fifth, compute the p-value. Sixth, if the p-value is less than alpha, reject the null; otherwise, fail to reject it.|Type I error is rejecting a true null hypothesis—a false positive—controlled by alpha. Type II error is failing to reject a false null—a false negative—controlled by beta, which depends on sample size and effect size. Statistical power is one minus beta—the probability of correctly detecting a true effect. Increasing sample size reduces the standard error, making it easier to detect smaller real effects.

# ── Python ────────────────────────────────────────────────────────────────────

What is a list comprehension in Python and when would you use it?|PYTHON|DATA_STRUCTURES|EASY|list comprehension;for loop;filter;map;iterable;readable|A list comprehension is a concise syntax for creating a list by applying an expression to each element of an iterable, with an optional filter condition. The syntax is [expression for variable in iterable if condition]. For example, [x**2 for x in range(10) if x % 2 == 0] creates squares of even numbers. List comprehensions are preferred over map and filter for readability and are generally faster than equivalent for loops because they are optimized in CPython.|List comprehensions can be nested to iterate over multiple sequences. They are best when the logic fits on one readable line. For complex transformations or side effects, a regular for loop is clearer. Dictionary and set comprehensions follow the same pattern. Generator expressions use parentheses instead of brackets and produce values lazily without allocating the full list in memory.

What is the difference between a list and a tuple in Python?|PYTHON|DATA_STRUCTURES|EASY|list;tuple;mutable;immutable;hashable;parentheses;brackets|Lists are mutable sequences—you can append, remove, or change elements after creation. Tuples are immutable sequences that cannot be modified. Lists use square brackets and tuples use parentheses. Tuples are hashable when all their elements are hashable, so they can be used as dictionary keys or set members. Tuples typically represent fixed heterogeneous records like coordinates, while lists represent homogeneous collections that may grow or shrink.|Immutability makes tuples slightly faster to create and access than lists. Named tuples from the collections module add field names to tuples, combining record-like structure with immutability. Tuple unpacking—a, b = 1, 2—is a common pattern for multiple return values. In function signatures, tuples often represent fixed-arity structured data like RGB values or database rows.

What are decorators in Python and how do you use them?|PYTHON|OOP|MEDIUM|decorator;wrapper;function;higher-order function;closure;@|A decorator is a higher-order function that takes a function as input and returns a modified version of it. The @decorator_name syntax above a function is syntactic sugar for function = decorator(function). Decorators add behavior around a function without modifying its body—common uses include logging, timing, caching with functools.lru_cache, authentication checks, and retry logic. They work by defining an inner wrapper function that calls the original and adds behavior before or after the call.|functools.wraps should be applied to the inner wrapper to preserve the original function's name, docstring, and metadata. Decorators can be chained by stacking multiple @ lines; they apply from bottom to top. Decorators that accept arguments require another layer of nesting. The pattern cleanly separates cross-cutting concerns like logging and authentication from business logic.

What is the difference between a deep copy and a shallow copy?|PYTHON|DATA_STRUCTURES|MEDIUM|deep copy;shallow copy;copy module;nested;reference;mutation|A shallow copy creates a new outer object but shares references to the inner objects of the original. A deep copy creates a completely independent copy of the object and all nested objects. For flat objects with no nested mutables, both behave identically. For nested structures like a list of lists, mutating an inner list in the original also affects the shallow copy because both point to the same inner object. The copy module provides copy.copy() for shallow and copy.deepcopy() for deep copies.|Shallow copies can be created with slicing, list(), or dict(). Assignment with = does not copy—it creates another reference to the same object. Deep copy traverses the entire object graph and creates new objects at every level, making it slower and more memory-intensive. Python's deepcopy handles circular references correctly. Default mutable arguments in function definitions share the same object across calls, a related and common bug.

What is the Global Interpreter Lock (GIL) in Python?|PYTHON|OOP|HARD|GIL;Global Interpreter Lock;threading;multiprocessing;CPython;concurrency;parallelism|The Global Interpreter Lock is a mutex in CPython that ensures only one thread executes Python bytecode at a time, even on multi-core systems. It simplifies memory management by making reference counting thread-safe without per-object locking. This means Python threads cannot achieve true CPU parallelism for CPU-bound tasks. For I/O-bound tasks the GIL is released during I/O waits, so threading still provides concurrency benefits. For CPU-bound parallelism, multiprocessing uses separate processes each with their own interpreter, bypassing the GIL.|The GIL is a CPython implementation detail—Jython and PyPy-STM do not have one. PEP 703 is working to make the GIL optional in future CPython versions. Libraries like NumPy release the GIL during C extension computation, allowing some parallelism. Alternatives for CPU-bound work include multiprocessing, concurrent.futures.ProcessPoolExecutor, Cython, and Numba.

How does memory management work in Python?|PYTHON|OOP|HARD|garbage collection;reference counting;heap;del;gc module;memory leak;cyclic references|Python manages memory primarily through reference counting: every object tracks the number of references to it, and when the count reaches zero the memory is immediately freed. A supplemental garbage collector handles reference cycles—groups of objects referencing each other that are never reachable from the program. Python uses a private heap with a small-object allocator called pymalloc for objects under 512 bytes. Developers can use del to remove references and gc.collect() to force a collection cycle.|Reference counting is efficient and deterministic but cannot handle cycles since circular references keep counts nonzero. The gc module uses a generational algorithm with three generations; objects surviving successive collections are promoted to older generations collected less frequently. Memory leaks typically arise from unintended long-lived references: global variables, closures capturing large objects, or event listeners preventing garbage collection.
